miRNA_name,evidence
['hsa-mir-1286'],['Unconfirmed']
['hsa-mir-1302'],['Unconfirmed']
['hsa-mir-873'],['Unconfirmed']
['hsa-mir-664'],['Unconfirmed']
['hsa-mir-767'],['Unconfirmed']
['hsa-mir-544a'],['Unconfirmed']
['hsa-mir-655'],['Unconfirmed']
['hsa-mir-544b'],['Unconfirmed']
['hsa-mir-593'],['dbDEMC']
['hsa-mir-760'],['Unconfirmed']
['hsa-mir-642b'],['Unconfirmed']
['hsa-mir-105'],['dbDEMC']
['hsa-mir-507'],['Unconfirmed']
['hsa-mir-601'],['dbDEMC']
['hsa-mir-1271'],['Unconfirmed']
['hsa-mir-658'],['dbDEMC']
['hsa-mir-499b'],['Unconfirmed']
['hsa-mir-646'],['Unconfirmed']
['hsa-mir-514a'],['Unconfirmed']
['hsa-mir-526b'],['dbDEMC']
['hsa-mir-612'],['dbDEMC']
['hsa-mir-657'],['dbDEMC']
['hsa-mir-1303'],['Unconfirmed']
['hsa-mir-2110'],['Unconfirmed']
['hsa-mir-1249'],['Unconfirmed']
['hsa-mir-711'],['Unconfirmed']
['hsa-mir-624'],['dbDEMC']
['hsa-mir-548a'],['Unconfirmed']
['hsa-mir-941'],['Unconfirmed']
['hsa-mir-1266'],['Unconfirmed']
['hsa-mir-659'],['dbDEMC']
['hsa-mir-668'],['dbDEMC']
['hsa-mir-4792'],['Unconfirmed']
['hsa-mir-151'],['Unconfirmed']
['hsa-mir-190b'],['Unconfirmed']
['hsa-mir-641'],['dbDEMC']
['hsa-mir-451'],['dbDEMC and miR2Disease']
['hsa-mir-1181'],['Unconfirmed']
['hsa-mir-1236'],['Unconfirmed']
['hsa-mir-663'],['dbDEMC and miR2Disease']
['hsa-mir-1293'],['Unconfirmed']
['hsa-mir-648'],['dbDEMC']
['hsa-mir-660'],['dbDEMC']
['hsa-mir-518a'],['dbDEMC']
['hsa-mir-633'],['Unconfirmed']
['hsa-mir-1827'],['Unconfirmed']
['hsa-mir-548c'],['Unconfirmed']
['hsa-mir-3148'],['Unconfirmed']
['hsa-mir-487a'],['dbDEMC']
['hsa-mir-448'],['dbDEMC']
['hsa-mir-1287'],['Unconfirmed']
['hsa-mir-545'],['dbDEMC']
['hsa-mir-1207'],['Unconfirmed']
['hsa-mir-569'],['Unconfirmed']
['hsa-mir-614'],['dbDEMC']
['hsa-mir-1909'],['Unconfirmed']
['hsa-mir-564'],['dbDEMC']
['hsa-mir-599'],['Unconfirmed']
['hsa-mir-369'],['dbDEMC']
['hsa-mir-550b'],['Unconfirmed']
['hsa-mir-592'],['Unconfirmed']
['hsa-mir-189'],['dbDEMC']
['hsa-mir-3179'],['Unconfirmed']
['hsa-mir-1254'],['Unconfirmed']
['hsa-mir-935'],['Unconfirmed']
['hsa-mir-1183'],['Unconfirmed']
['hsa-mir-3151'],['Unconfirmed']
['hsa-mir-2861'],['Unconfirmed']
['hsa-mir-3196'],['Unconfirmed']
['hsa-mir-663b'],['Unconfirmed']
['hsa-mir-758'],['dbDEMC']
['hsa-mir-769'],['Unconfirmed']
['hsa-mir-511'],['Unconfirmed']
['hsa-mir-1260a'],['Unconfirmed']
['hsa-mir-603'],['dbDEMC']
['hsa-mir-552'],['Unconfirmed']
['hsa-mir-766'],['dbDEMC']
['hsa-mir-1322'],['Unconfirmed']
['hsa-mir-654'],['dbDEMC']
['hsa-mir-1299'],['Unconfirmed']
['hsa-mir-662'],['dbDEMC']
['hsa-mir-3940'],['Unconfirmed']
['hsa-mir-1305'],['Unconfirmed']
['hsa-mir-1297'],['Unconfirmed']
['hsa-mir-523'],['dbDEMC']
['hsa-mir-617'],['dbDEMC']
['hsa-mir-611'],['Unconfirmed']
['hsa-mir-600'],['dbDEMC']
['hsa-mir-124a'],['miR2Disease']
['hsa-mir-627'],['dbDEMC']
['hsa-mir-1229'],['Unconfirmed']
['hsa-mir-635'],['Unconfirmed']
['hsa-mir-3163'],['Unconfirmed']
['hsa-mir-1285'],['Unconfirmed']
['hsa-mir-1275'],['Unconfirmed']
['hsa-mir-647'],['dbDEMC']
['hsa-mir-582'],['dbDEMC']
['hsa-mir-1233'],['Unconfirmed']
['hsa-mir-1227'],['Unconfirmed']
['hsa-mir-1247'],['Unconfirmed']
['hsa-mir-589'],['dbDEMC']
['hsa-mir-1273a'],['Unconfirmed']
['hsa-mir-566'],['dbDEMC']
['hsa-mir-1296'],['Unconfirmed']
['hsa-mir-1179'],['Unconfirmed']
['hsa-mir-944'],['Unconfirmed']
['hsa-mir-1273c'],['Unconfirmed']
['hsa-mir-616'],['dbDEMC']
['hsa-mir-1180'],['Unconfirmed']
['hsa-mir-567'],['dbDEMC']
['hsa-mir-521'],['dbDEMC']
['hsa-mir-1184'],['Unconfirmed']
['hsa-mir-1972'],['Unconfirmed']
['hsa-mir-619'],['dbDEMC']
['hsa-mir-1256'],['Unconfirmed']
['hsa-mir-933'],['Unconfirmed']
['hsa-mir-1228'],['Unconfirmed']
['hsa-mir-551a'],['dbDEMC']
['hsa-mir-621'],['dbDEMC']
['hsa-mir-518f'],['dbDEMC']
['hsa-mir-518e'],['dbDEMC']
['hsa-mir-524'],['dbDEMC']
['hsa-mir-605'],['Unconfirmed']
['hsa-mir-577'],['Unconfirmed']
['hsa-mir-449c'],['Unconfirmed']
['hsa-mir-610'],['dbDEMC']
